name,ring,quadrant,isNew,description
Kotlin,Adopt,Programming Languages and Frameworks,,
Java,Adopt,Programming Languages and Frameworks,,
Angular,Adopt,Programming Languages and Frameworks,,
Bash/sh,Adopt,Programming Languages and Frameworks,,
Gatling,Adopt,Programming Languages and Frameworks,,
Spring,Adopt,Programming Languages and Frameworks,,
JUnit5,Adopt,Programming Languages and Frameworks,,
Kafka,Adopt,Platforms,,
kotest,Adopt,Programming Languages and Frameworks,,
cypress,Trial,Programming Languages and Frameworks,,
Selenide,Trial,Programming Languages and Frameworks,,
Hibernate,Access,Programming Languages and Frameworks,,
mockserver,Access,Programming Languages and Frameworks,,
RestAssured,Hold,Programming Languages and Frameworks,,
webdriver.io,Hold,Programming Languages and Frameworks,,
Gitlab,Adopt,Tools,,
Docker,Adopt,Tools,,
Docker,Adopt,Platforms,,
Portainer,Adopt,Tools,,
Maven,Adopt,Tools,,
Jenkins,Adopt,Tools,,
Swagger,Adopt,Tools,,
Allure testOps,Adopt,Tools,,
Git,Adopt,Tools,,
Postman,Adopt,Tools,,
Jira,Adopt,Tools,,
Grafana,Adopt,Tools,,
Kibana,Adopt,Tools,,
Confluence,Adopt,Tools,,
Soap UI,Hold,Tools,,
Stash (BitBucket),Hold,Tools,,
Chrome Devtools,Adopt,Tools,,
Figma,Adopt,Tools,,
Fiddler,Trial,Tools,,
Jmeter,Access,Tools,,
Nginx,Adopt,Platforms,,
Oracle,Adopt,Platforms,,
Postgre,Adopt,Platforms,,
Load testing,Trial,Techniques,,
Smoke testing,Adopt,Techniques,,
Kanban board,Adopt,Techniques,,
Test cases as a code,Trial,Techniques,,
3 amigo,Trial,Techniques,,
Code/test cases review,Adopt,Techniques,,
Shift Left Testing,Trial,Techniques,,
Grooming,Adopt,Techniques,,
Planning,Adopt,Techniques,,
